book_id,isbn,authors,original_publication_year,original_title,language_code,image_url
1,439023483,Suzanne Collins,2008.0,The Hunger Games,eng,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,439554934,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,eng,https://images.gr-assets.com/books/1474154022m/3.jpg
3,316015849,Stephenie Meyer,2005.0,Twilight,en-US,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,61120081,Harper Lee,1960.0,To Kill a Mockingbird,eng,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,743273567,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,525478817,John Green,2012.0,The Fault in Our Stars,eng,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,618260307,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,en-US,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,316769177,J.D. Salinger,1951.0,The Catcher in the Rye,eng,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,1416524797,Dan Brown,2000.0,Angels & Demons ,en-CA,https://images.gr-assets.com/books/1303390735m/960.jpg
10,679783261,Jane Austen,1813.0,Pride and Prejudice,eng,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,1594480001,Khaled Hosseini,2003.0,The Kite Runner ,eng,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,62024035,Veronica Roth,2011.0,Divergent,eng,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,eng,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,452284244,George Orwell,1945.0,Animal Farm: A Fairy Story,eng,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,307269752,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,eng,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,439023491,Suzanne Collins,2009.0,Catching Fire,eng,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,eng,https://images.gr-assets.com/books/1499277281m/5.jpg
19,618346252,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,eng,https://images.gr-assets.com/books/1298411339m/34.jpg
